Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP001003,1.0,1.0,1,No,4583,128.0,360.0,1.0,Rural
LP001014,1.0,1.0,1,No,3036,158.0,360.0,0.0,Semiurban
LP001020,1.0,1.0,1,No,12841,349.0,360.0,1.0,Semiurban
LP001029,1.0,0.0,1,No,1853,114.0,360.0,1.0,Rural
LP001036,0.0,0.0,1,No,3510,76.0,360.0,0.0,Urban
LP001038,1.0,1.0,0,No,4887,133.0,360.0,1.0,Rural
LP001043,1.0,1.0,0,No,7660,104.0,360.0,0.0,Urban
LP001047,1.0,1.0,0,No,2600,116.0,360.0,0.0,Semiurban
LP001050,,1.0,0,No,3365,112.0,360.0,0.0,Rural
LP001052,1.0,1.0,1,,3717,151.0,360.0,,Semiurban
LP001086,1.0,0.0,0,No,1442,35.0,360.0,1.0,Urban
LP001091,1.0,1.0,1,,4166,201.0,360.0,,Urban
LP001095,1.0,0.0,1,No,3167,74.0,360.0,1.0,Urban
LP001097,1.0,0.0,1,Yes,4692,106.0,360.0,1.0,Rural
LP001100,1.0,0.0,1,No,12500,320.0,360.0,1.0,Rural
LP001109,1.0,1.0,1,No,1828,100.0,,0.0,Urban
LP001119,1.0,0.0,1,No,3600,80.0,360.0,1.0,Urban
LP001146,0.0,1.0,1,No,2645,120.0,360.0,0.0,Urban
LP001164,0.0,0.0,1,No,4230,112.0,360.0,1.0,Semiurban
LP001179,1.0,1.0,1,No,4616,134.0,360.0,1.0,Urban
LP001186,0.0,1.0,1,Yes,11500,286.0,360.0,0.0,Urban
LP001197,1.0,1.0,1,No,3366,135.0,360.0,1.0,Rural
LP001207,1.0,1.0,0,Yes,2609,165.0,180.0,0.0,Rural
LP001213,1.0,1.0,1,No,4945,,360.0,0.0,Rural
LP001222,0.0,0.0,1,No,4166,116.0,360.0,0.0,Semiurban
LP001225,1.0,1.0,1,No,5726,258.0,360.0,1.0,Semiurban
LP001228,1.0,0.0,0,No,3200,126.0,180.0,0.0,Urban
LP001241,0.0,0.0,1,No,4300,136.0,360.0,0.0,Semiurban
LP001250,1.0,1.0,0,No,4755,95.0,,0.0,Semiurban
LP001255,1.0,0.0,1,No,3750,113.0,480.0,1.0,Urban
LP001256,1.0,0.0,1,No,3750,176.0,360.0,1.0,Urban
LP001259,1.0,1.0,1,Yes,1000,110.0,360.0,1.0,Urban
LP001263,1.0,1.0,1,No,3167,180.0,300.0,0.0,Semiurban
LP001267,0.0,1.0,1,No,1378,167.0,360.0,1.0,Urban
LP001273,1.0,1.0,1,No,6000,265.0,360.0,,Semiurban
LP001326,1.0,0.0,1,,6782,,360.0,,Urban
LP001370,1.0,0.0,0,,7333,120.0,360.0,1.0,Rural
LP001379,1.0,1.0,1,No,3800,216.0,360.0,0.0,Urban
LP001391,1.0,1.0,0,No,3572,152.0,,0.0,Rural
LP001421,1.0,1.0,1,No,5568,175.0,360.0,1.0,Rural
LP001451,1.0,1.0,1,Yes,10513,160.0,180.0,0.0,Urban
LP001465,1.0,1.0,1,No,6080,182.0,360.0,,Rural
LP001488,1.0,1.0,1,No,4000,290.0,360.0,1.0,Semiurban
LP001489,0.0,1.0,1,No,4583,84.0,360.0,1.0,Rural
LP001492,1.0,0.0,1,No,14999,242.0,360.0,0.0,Semiurban
LP001493,1.0,1.0,0,No,4200,129.0,360.0,1.0,Rural
LP001497,1.0,1.0,1,No,5042,185.0,360.0,1.0,Rural
LP001519,0.0,0.0,1,No,10000,225.0,360.0,1.0,Rural
LP001528,1.0,0.0,1,No,6277,118.0,360.0,0.0,Rural
LP001531,1.0,0.0,1,No,9166,244.0,360.0,1.0,Urban
LP001532,1.0,1.0,0,No,2281,113.0,360.0,1.0,Rural
LP001562,1.0,1.0,1,No,7933,275.0,360.0,1.0,Urban
LP001565,1.0,1.0,1,No,3089,121.0,360.0,0.0,Semiurban
LP001577,0.0,1.0,1,No,4583,112.0,360.0,1.0,Rural
LP001579,1.0,0.0,1,No,2237,63.0,480.0,0.0,Semiurban
LP001586,1.0,1.0,0,No,3522,81.0,180.0,1.0,Rural
LP001603,1.0,1.0,0,Yes,4344,87.0,360.0,1.0,Semiurban
LP001610,1.0,1.0,1,No,5516,495.0,360.0,0.0,Semiurban
LP001630,1.0,0.0,0,No,2333,102.0,480.0,0.0,Urban
LP001633,1.0,1.0,1,No,6400,180.0,360.0,0.0,Urban
LP001634,1.0,0.0,1,No,1916,67.0,360.0,,Rural
LP001637,1.0,1.0,1,No,33846,260.0,360.0,1.0,Semiurban
LP001641,1.0,1.0,1,Yes,2178,66.0,300.0,0.0,Rural
LP001656,1.0,0.0,1,No,12000,164.0,360.0,1.0,Semiurban
LP001657,1.0,1.0,0,No,6033,160.0,360.0,1.0,Urban
LP001665,1.0,1.0,1,No,3125,170.0,360.0,1.0,Semiurban
LP001673,1.0,0.0,1,Yes,11000,83.0,360.0,1.0,Urban
LP001682,1.0,1.0,0,No,3992,,180.0,1.0,Urban
LP001702,1.0,0.0,1,No,3418,127.0,360.0,1.0,Semiurban
LP001708,0.0,0.0,1,No,10000,214.0,360.0,1.0,Semiurban
LP001711,1.0,1.0,1,No,3430,128.0,360.0,0.0,Semiurban
LP001722,1.0,1.0,1,No,150,135.0,360.0,1.0,Rural
LP001732,1.0,1.0,1,,5000,72.0,360.0,0.0,Semiurban
LP001736,1.0,1.0,1,No,2221,60.0,360.0,0.0,Urban
LP001751,1.0,1.0,1,No,3250,170.0,360.0,1.0,Rural
LP001754,1.0,1.0,0,Yes,4735,138.0,360.0,1.0,Urban
LP001786,1.0,1.0,1,,5746,255.0,360.0,,Urban
LP001800,1.0,1.0,0,No,2510,140.0,180.0,1.0,Urban
LP001813,1.0,0.0,1,Yes,6050,120.0,180.0,1.0,Urban
LP001835,1.0,1.0,0,No,1668,201.0,360.0,0.0,Semiurban
LP001836,0.0,0.0,1,No,3427,138.0,360.0,1.0,Urban
LP001844,1.0,0.0,1,Yes,16250,192.0,360.0,0.0,Urban
LP001849,1.0,0.0,0,No,6045,115.0,360.0,0.0,Rural
LP001854,1.0,1.0,1,No,5250,94.0,360.0,1.0,Urban
LP001859,1.0,1.0,1,No,14683,304.0,360.0,1.0,Rural
LP001864,1.0,1.0,0,No,4931,128.0,360.0,,Semiurban
LP001870,0.0,0.0,1,No,3481,155.0,36.0,1.0,Semiurban
LP001883,0.0,0.0,1,,3418,135.0,360.0,1.0,Rural
LP001910,1.0,0.0,0,Yes,4053,158.0,360.0,0.0,Urban
LP001922,1.0,1.0,1,No,20667,,360.0,1.0,Rural
LP001925,0.0,0.0,1,Yes,2600,99.0,300.0,1.0,Semiurban
LP001938,1.0,1.0,1,No,4400,127.0,360.0,0.0,Semiurban
LP001945,0.0,0.0,1,No,5417,143.0,480.0,0.0,Urban
LP001955,0.0,0.0,1,No,5000,151.0,480.0,1.0,Rural
LP001963,1.0,1.0,1,No,2014,113.0,360.0,1.0,Urban
LP001964,1.0,1.0,0,No,1800,93.0,360.0,0.0,Urban
LP001990,1.0,0.0,0,No,2000,,360.0,1.0,Urban
LP001994,0.0,0.0,1,No,2400,104.0,360.0,0.0,Urban
LP001996,1.0,0.0,1,No,20233,480.0,360.0,1.0,Rural
LP002024,,1.0,1,No,2473,159.0,360.0,1.0,Rural
LP002050,1.0,1.0,1,Yes,10000,155.0,360.0,1.0,Rural
LP002067,1.0,1.0,1,Yes,8666,376.0,360.0,0.0,Rural
LP002086,0.0,1.0,1,No,4333,110.0,360.0,1.0,Urban
LP002113,0.0,0.0,0,No,1830,,360.0,0.0,Urban
LP002115,1.0,1.0,0,No,2647,173.0,360.0,1.0,Rural
LP002116,0.0,0.0,1,No,2378,46.0,360.0,1.0,Rural
LP002130,1.0,1.0,0,No,3523,152.0,360.0,0.0,Rural
LP002140,1.0,0.0,1,No,8750,308.0,360.0,1.0,Rural
LP002142,0.0,1.0,1,Yes,5500,105.0,360.0,0.0,Rural
LP002151,1.0,1.0,1,No,3875,67.0,360.0,1.0,Urban
LP002158,1.0,1.0,0,No,3000,100.0,480.0,0.0,Urban
LP002161,0.0,0.0,1,No,4723,81.0,360.0,1.0,Semiurban
LP002181,1.0,0.0,0,No,6216,133.0,360.0,1.0,Rural
LP002187,1.0,0.0,1,No,2500,96.0,480.0,1.0,Semiurban
LP002188,1.0,0.0,1,No,5124,124.0,,0.0,Rural
LP002191,1.0,1.0,1,No,19730,570.0,360.0,1.0,Rural
LP002205,1.0,0.0,1,No,3062,111.0,180.0,0.0,Urban
LP002224,1.0,0.0,1,No,3069,71.0,480.0,1.0,Urban
LP002236,1.0,1.0,1,No,4566,100.0,360.0,1.0,Urban
LP002243,1.0,1.0,0,No,3010,,360.0,0.0,Urban
LP002277,0.0,0.0,1,No,3180,71.0,360.0,0.0,Urban
LP002287,0.0,0.0,1,No,1500,103.0,360.0,0.0,Semiurban
LP002288,1.0,1.0,0,No,2889,45.0,180.0,0.0,Urban
LP002296,1.0,0.0,0,No,2755,65.0,300.0,1.0,Rural
LP002301,0.0,0.0,1,Yes,7441,194.0,360.0,1.0,Rural
LP002315,1.0,1.0,1,No,8300,152.0,300.0,0.0,Semiurban
LP002317,1.0,1.0,1,No,81000,360.0,360.0,0.0,Rural
LP002318,0.0,0.0,0,Yes,3867,62.0,360.0,1.0,Semiurban
LP002328,1.0,1.0,0,No,6096,218.0,360.0,0.0,Rural
LP002335,0.0,1.0,0,No,2149,178.0,360.0,0.0,Semiurban
LP002341,0.0,0.0,1,No,2600,160.0,360.0,1.0,Urban
LP002342,1.0,1.0,1,Yes,1600,239.0,360.0,1.0,Urban
LP002357,0.0,0.0,0,No,2720,80.0,,0.0,Urban
LP002362,1.0,1.0,1,No,7250,110.0,,0.0,Urban
LP002367,0.0,0.0,0,No,4606,81.0,360.0,1.0,Rural
LP002379,1.0,0.0,1,No,6500,105.0,360.0,0.0,Rural
LP002403,1.0,0.0,1,Yes,10416,187.0,360.0,0.0,Urban
LP002435,1.0,1.0,1,,3539,55.0,360.0,1.0,Rural
LP002443,1.0,1.0,1,No,3340,150.0,360.0,0.0,Rural
LP002444,1.0,0.0,0,Yes,2769,190.0,360.0,,Semiurban
LP002446,1.0,1.0,0,No,2309,125.0,360.0,0.0,Rural
LP002448,1.0,1.0,1,No,3948,149.0,360.0,0.0,Rural
LP002467,1.0,1.0,1,No,3708,173.0,360.0,1.0,Urban
LP002473,1.0,1.0,1,No,8334,160.0,360.0,1.0,Semiurban
LP002493,1.0,0.0,1,No,4166,98.0,360.0,0.0,Semiurban
LP002500,1.0,1.0,0,No,2947,70.0,180.0,0.0,Urban
LP002505,1.0,1.0,1,No,4333,110.0,360.0,1.0,Urban
LP002517,1.0,1.0,0,No,2653,113.0,180.0,0.0,Rural
LP002530,,1.0,1,No,2873,132.0,360.0,0.0,Semiurban
LP002533,1.0,1.0,1,No,2947,,360.0,1.0,Urban
LP002545,1.0,0.0,1,No,3547,80.0,360.0,0.0,Rural
LP002547,1.0,1.0,1,No,18333,500.0,360.0,1.0,Urban
LP002556,1.0,0.0,1,No,2435,75.0,360.0,1.0,Urban
LP002585,1.0,1.0,1,No,3597,119.0,360.0,0.0,Rural
LP002602,1.0,0.0,1,No,6283,209.0,360.0,0.0,Rural
LP002618,1.0,1.0,0,No,4050,138.0,360.0,,Rural
LP002625,,0.0,1,No,3583,96.0,360.0,1.0,Urban
LP002637,1.0,0.0,0,No,3598,100.0,360.0,1.0,Rural
LP002648,1.0,1.0,1,No,2130,70.0,180.0,1.0,Semiurban
LP002652,1.0,0.0,1,No,5815,311.0,360.0,1.0,Rural
LP002682,1.0,1.0,0,No,3074,123.0,360.0,0.0,Semiurban
LP002683,1.0,0.0,1,No,4683,185.0,360.0,1.0,Semiurban
LP002684,0.0,0.0,0,No,3400,95.0,360.0,1.0,Rural
LP002697,1.0,0.0,1,No,4680,,360.0,1.0,Semiurban
LP002723,1.0,0.0,1,No,3588,110.0,360.0,0.0,Rural
LP002729,1.0,0.0,1,No,11250,196.0,360.0,,Semiurban
LP002739,1.0,1.0,0,No,2917,66.0,360.0,1.0,Rural
LP002743,0.0,0.0,1,No,2138,99.0,360.0,0.0,Semiurban
LP002768,1.0,0.0,0,No,3358,80.0,36.0,1.0,Semiurban
LP002776,0.0,0.0,1,No,5000,103.0,360.0,0.0,Semiurban
LP002778,1.0,1.0,1,Yes,6633,,360.0,0.0,Rural
LP002788,1.0,1.0,0,No,2454,181.0,360.0,0.0,Urban
LP002789,1.0,1.0,1,No,3593,132.0,180.0,0.0,Rural
LP002832,1.0,1.0,1,No,8799,258.0,360.0,0.0,Urban
LP002837,1.0,1.0,1,No,3400,123.0,360.0,0.0,Rural
LP002840,0.0,0.0,1,No,2378,9.0,360.0,1.0,Urban
LP002841,1.0,1.0,1,No,3166,104.0,360.0,0.0,Urban
LP002847,1.0,1.0,1,No,5116,165.0,360.0,0.0,Urban
LP002862,1.0,1.0,0,No,6125,187.0,480.0,1.0,Semiurban
LP002863,1.0,1.0,1,No,6406,150.0,360.0,1.0,Semiurban
LP002872,,1.0,1,No,3087,136.0,360.0,0.0,Semiurban
LP002893,1.0,0.0,1,No,1836,90.0,360.0,1.0,Urban
LP002898,1.0,1.0,1,No,1880,61.0,360.0,,Rural
LP002911,1.0,1.0,1,No,2787,146.0,360.0,0.0,Rural
LP002912,1.0,1.0,1,No,4283,172.0,84.0,1.0,Rural
LP002926,1.0,1.0,1,Yes,2726,106.0,360.0,0.0,Semiurban
LP002931,1.0,1.0,1,Yes,6000,205.0,240.0,1.0,Semiurban
LP002941,1.0,1.0,0,Yes,6383,187.0,360.0,1.0,Rural
LP002943,1.0,0.0,1,No,2987,88.0,360.0,0.0,Semiurban
LP002949,0.0,0.0,1,,416,350.0,180.0,,Urban
LP002960,1.0,1.0,0,No,2400,,180.0,1.0,Urban
LP002990,0.0,0.0,1,Yes,4583,133.0,360.0,0.0,Semiurban
